Cloud,Hostname
Public,arm-frontdoor-southcentralus.trafficmanager.net
Public,arm-frontdoor-northcentralus.trafficmanager.net
Public,arm-frontdoor-eastasia.trafficmanager.net
Public,arm-frontdoor-centralus.trafficmanager.net
Public,arm-frontdoor-eastus.trafficmanager.net
Public,arm-frontdoor-eastus2.trafficmanager.net
Public,arm-frontdoor-northeurope.trafficmanager.net
Public,arm-frontdoor-southeastasia.trafficmanager.net
Public,arm-frontdoor-westus.trafficmanager.net
Public,arm-frontdoor-brazilsouth.trafficmanager.net
Public,arm-frontdoor-japanwest.trafficmanager.net
Public,arm-frontdoor-japaneast.trafficmanager.net
Public,arm-frontdoor-brazilus.trafficmanager.net
Public,arm-frontdoor-australiasoutheast.trafficmanager.net
Public,arm-frontdoor-southindia.trafficmanager.net
Public,arm-frontdoor-westindia.trafficmanager.net
Public,arm-frontdoor-centralindia.trafficmanager.net
Public,arm-frontdoor-qatarcentral.trafficmanager.net
Public,arm-frontdoor-polandcentral.trafficmanager.net
Public,arm-frontdoor-canadaeast.trafficmanager.net
Public,arm-frontdoor-canadacentral.trafficmanager.net
Public,arm-frontdoor-westcentralus.trafficmanager.net
Public,arm-frontdoor-australiaeast.trafficmanager.net
Public,arm-frontdoor-westus2.trafficmanager.net
Public,arm-frontdoor-uksouth.trafficmanager.net
Public,arm-frontdoor-ukwest.trafficmanager.net
Public,arm-frontdoor-koreacentral.trafficmanager.net
Public,arm-frontdoor-koreasouth.trafficmanager.net
Public,arm-frontdoor-francecentral.trafficmanager.net
Public,arm-frontdoor-francesouth.trafficmanager.net
Public,arm-frontdoor-australiacentral2.trafficmanager.net
Public,arm-frontdoor-uksouth-prod.trafficmanager.net
Public,arm-frontdoor-australiacentral-prod.trafficmanager.net
Public,arm-frontdoor-eastus2-prod.trafficmanager.net
Public,arm-frontdoor-eastus-prod.trafficmanager.net
Public,arm-frontdoor-westeurope-prod.trafficmanager.net
Public,arm-frontdoor-jioindiawest.trafficmanager.net
Public,arm-frontdoor-canadaeast-prod.trafficmanager.net
Public,arm-frontdoor-southafricanorth.trafficmanager.net
Public,arm-frontdoor-uaenorth.trafficmanager.net
Public,arm-frontdoor-uaecentral.trafficmanager.net
Public,arm-frontdoor-southafricawest.trafficmanager.net
Public,arm-frontdoor-switzerlandnorth.trafficmanager.net
Public,arm-frontdoor-switzerlandwest.trafficmanager.net
Public,arm-frontdoor-germanywestcentral.trafficmanager.net
Public,arm-frontdoor-germanynorth.trafficmanager.net
Public,arm-frontdoor-brazilsoutheast.trafficmanager.net
Public,arm-frontdoor-jioindiacentral.trafficmanager.net
Public,arm-frontdoor-westus3.trafficmanager.net
Public,arm-frontdoor-swedencentral.trafficmanager.net
Public,arm-frontdoor-swedensouth.trafficmanager.net
Public,arm-frontdoor-norwayeast.trafficmanager.net
Public,arm-frontdoor-australiacentral.trafficmanager.net
Public,arm-frontdoor-westeurope.trafficmanager.net
Public,arm-fdweb.italynorth.cloudapp.azure.com
Public,arm-fdweb.israelcentral.cloudapp.azure.com
China,arm-fdweb.chinanorth.cloudapp.chinacloudapi.cn
China,arm-fdweb.chinanorth2.cloudapp.chinacloudapi.cn
China,arm-fdweb.chinanorth3.cloudapp.chinacloudapi.cn
China,arm-fdweb.chinaeast.cloudapp.chinacloudapi.cn
China,arm-fdweb.chinaeast2.cloudapp.chinacloudapi.cn
China,arm-fdweb.chinaeast3.cloudapp.chinacloudapi.cn
AzureGovernment,arm-fdweb.usgovvirginia.cloudapp.usgovcloudapi.net
AzureGovernment,arm-fdweb.usgovarizona.cloudapp.usgovcloudapi.net
AzureGovernment,arm-fdweb.usgovtexas.cloudapp.usgovcloudapi.net
AzureGovernment,arm-fdweb.usdodeast.cloudapp.usgovcloudapi.net
AzureGovernment,arm-fdweb.usdodcentral.cloudapp.usgovcloudapi.net